Item.[Item],Item.[Item$DisplayName],Item.[Is New Item],Item.[Item Disc Date],Item.[Item Intro Date],Item.[Item Status],Item.[Reporting Item],Item.[Reporting Item$DisplayName],Item.[Segmentation LOB],Item.[Segmentation LOB$DisplayName],Item.[PackageType],Item.[Pack Size],Item.[FN Item],Item.[L1],Item.[L1$DisplayName],Item.[L2],Item.[L2$DisplayName],Item.[L3],Item.[L3$DisplayName],Item.[L4],Item.[L4$DisplayName],Item.[L5],Item.[L5$DisplayName],Item.[L6],Item.[L6$DisplayName],Item.[Planning Item],Item.[Planning Item Locale],Item.[Planning Item Disc Date],Item.[Planning Item Intro Date],Item.[Planning Item$DisplayName],Item.[Transition Item],Item.[Transition Item$DisplayName],Item.[Segmentation Category],Item.[A1],Item.[A1$DisplayName],Item.[A2],Item.[A3],Item.[A3$DisplayName],Item.[A4],Item.[A4$DisplayName],Item.[A5],Item.[PLC Status],Item.[RGM7],Item.[RGM6],Item.[RGM5],Item.[RGM4],Item.[RGM3],Item.[RGM2],Item.[RGM1],Item.[Item Type],Item.[Unit Size],Item.[All Item],Item.[PPG],Item.[Stat Item],Item.[Stat Item$DisplayName],Item.[Stat Item Group],Item.[Stat Item Group$DisplayName],Item.[ContainerType],Item.[Item Class],Item.[Item Stage],Item.[EAN ID],Item.[Transition Group]
A130_11_02,CocoaDelight Milk Caramel_HolidayPack_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A130_11_02,CocoaDelight Milk Caramel_HolidayPack_6.5 oz,D30,Snacks,HolidayPack 6.5 oz,6.5 oz,,A130,CocoaDelight Milk Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A130_11,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Milk Caramel_Case,A130_11,CocoaDelight Milk Caramel_Case,Default,0,0%,Caramel,0.35,35%,975,975 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A130,CocoaDelight Milk Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A130_12_02,CocoaDelight Milk SeaSalt_HolidayPack_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A130_12_02,CocoaDelight Milk SeaSalt_HolidayPack_6.5 oz,D30,Snacks,HolidayPack 6.5 oz,6.5 oz,,A130,CocoaDelight Milk Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A130_12,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Milk SeaSalt_Case,A130_12,CocoaDelight Milk SeaSalt_Case,Default,0,0%,SeaSalt,0.35,35%,942,942 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A130,CocoaDelight Milk Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A142_11_02,ChocoDream 30% Cocoa Caramel_HolidayPack_3.5oz,,10/24/2029 0:00,7/1/2019 0:00,,A142_11_02,ChocoDream 30% Cocoa Caramel_HolidayPack_3.5oz,D30,Snacks,HolidayPack 3.5 oz,3.5 oz,,A142,ChocoDream 30% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A142_11,en-US,10/24/2029 0:00,7/1/2019 0:00,ChocoDream 30% Cocoa Caramel_HolidayPack,A142_11,ChocoDream 30% Cocoa Caramel_HolidayPack,Default,0,0%,Caramel,0.3,30%,500,500 cal,3.5oz,New,,,,,,,,FinishedGoods,,All Items,,A142,ChocoDream 30% Cocoa,D30,Snacks,Case,AY,Dummy,,All Items
A130_10_03,CocoaDelight Milk Almond_Case_12 oz,,10/24/2029 0:00,7/1/2019 0:00,,A130_10_03,CocoaDelight Milk Almond_Case_12 oz,D30,Snacks,Case 12 oz,12 oz,,A130,CocoaDelight Milk Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A130_10,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Milk Almond_Case,A130_10,CocoaDelight Milk Almond_Case,Default,0,0%,Almond,0.35,35%,1680,1680 cal,12 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A130,CocoaDelight Milk Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A130_11_03,CocoaDelight Milk Caramel_Case_12 oz,,10/24/2029 0:00,7/1/2019 0:00,,A130_11_03,CocoaDelight Milk Caramel_Case_12 oz,D30,Snacks,Case 12 oz,12 oz,,A130,CocoaDelight Milk Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A130_11,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Milk Caramel_Case,A130_11,CocoaDelight Milk Caramel_Case,Default,0,0%,Caramel,0.35,35%,1800,1800 cal,12 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A130,CocoaDelight Milk Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A130_12_03,CocoaDelight Milk SeaSalt_Case_12 oz,,10/24/2029 0:00,7/1/2019 0:00,,A130_12_03,CocoaDelight Milk SeaSalt_Case_12 oz,D30,Snacks,Case 12 oz,12 oz,,A130,CocoaDelight Milk Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A130_12,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Milk SeaSalt_Case,A130_12,CocoaDelight Milk SeaSalt_Case,Default,0,0%,SeaSalt,0.35,35%,1740,1740 cal,12 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A130,CocoaDelight Milk Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A131_10_03,CocoaDelight Dark Almond_Case_12 oz,,10/24/2029 0:00,7/1/2019 0:00,,A131_10_03,CocoaDelight Dark Almond_Case_12 oz,D30,Snacks,Case 12 oz,12 oz,,A131,CocoaDelight Dark Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A131_10,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Dark Almond_Case,A131_10,CocoaDelight Dark Almond_Case,Default,0,0%,Almond,0.7,0.7,1560,1560 cal,12 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A131,CocoaDelight Dark Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A131_11_03,CocoaDelight Dark Caramel_Case_12 oz,,10/24/2029 0:00,7/1/2019 0:00,,A131_11_03,CocoaDelight Dark Caramel_Case_12 oz,D30,Snacks,Case 12 oz,12 oz,,A131,CocoaDelight Dark Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A131_11,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Dark Caramel_Case,A131_11,CocoaDelight Dark Caramel_Case,Default,0,0%,Caramel,0.7,0.7,1620,1620 cal,12 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A131,CocoaDelight Dark Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A131_12_03,CocoaDelight Dark SeaSalt_Case_12 oz,,10/24/2029 0:00,7/1/2019 0:00,,A131_12_03,CocoaDelight Dark SeaSalt_Case_12 oz,D30,Snacks,Case 12 oz,12 oz,,A131,CocoaDelight Dark Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A131_12,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Dark SeaSalt_Case,A131_12,CocoaDelight Dark SeaSalt_Case,Default,0,0%,SeaSalt,0.7,0.7,1560,1560 cal,12 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A131,CocoaDelight Dark Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A132_10_03,CocoaDelight White Almond_Case_12 oz,,10/24/2029 0:00,7/1/2019 0:00,,A132_10_03,CocoaDelight White Almond_Case_12 oz,D30,Snacks,Case 12 oz,12 oz,,A132,CocoaDelight White Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A132_10,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight White Almond_Case,A132_10,CocoaDelight White Almond_Case,Default,0,0%,Almond,0.2,20%,1920,1920 cal,12 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A132,CocoaDelight White Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A132_11_03,CocoaDelight White Caramel_Case_12 oz,,10/24/2029 0:00,7/1/2019 0:00,,A132_11_03,CocoaDelight White Caramel_Case_12 oz,D30,Snacks,Case 12 oz,12 oz,,A132,CocoaDelight White Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A132_11,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight White Caramel_Case,A132_11,CocoaDelight White Caramel_Case,Default,0,0%,Caramel,0.2,20%,2040,2040 cal,12 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A132,CocoaDelight White Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A132_12_03,CocoaDelight White SeaSalt_Case_12 oz,,10/24/2029 0:00,7/1/2019 0:00,,A132_12_03,CocoaDelight White SeaSalt_Case_12 oz,D30,Snacks,Case 12 oz,12 oz,,A132,CocoaDelight White Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A132_12,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight White SeaSalt_Case,A132_12,CocoaDelight White SeaSalt_Case,Default,0,0%,SeaSalt,0.2,20%,1985,1985 cal,12 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A132,CocoaDelight White Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A130_14_01,CocoaDelight Milk Original_Case_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A130_14_01,CocoaDelight Milk Original_Case_6.5 oz,D30,Snacks,Case 6.5 oz,6.5 oz,,A130,CocoaDelight Milk Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A130_14,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Milk Original_Case,A130_14,CocoaDelight Milk Original_Case,Default,0,0%,Original,0.35,35%,910,910 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A130,CocoaDelight Milk Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A130_14_02,CocoaDelight Milk Original_HolidayPack_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A130_14_02,CocoaDelight Milk Original_HolidayPack_6.5 oz,D30,Snacks,HolidayPack 6.5 oz,6.5 oz,,A130,CocoaDelight Milk Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A130_14,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Milk Original_Case,A130_14,CocoaDelight Milk Original_Case,Default,0,0%,Original,0.35,35%,975,975 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A130,CocoaDelight Milk Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A130_14_03,CocoaDelight Milk Original_Case_12 oz,,10/24/2029 0:00,7/1/2019 0:00,,A130_14_03,CocoaDelight Milk Original_Case_12 oz,D30,Snacks,Case 12 oz,12 oz,,A130,CocoaDelight Milk Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A130_14,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Milk Original_Case,A130_14,CocoaDelight Milk Original_Case,Default,0,0%,Original,0.35,35%,1680,1680 cal,12 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A130,CocoaDelight Milk Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A130_15_01,CocoaDelight Milk PPRMNT_Case_6.5 oz,,10/24/2029 0:00,7/1/2019 0:00,,A130_15_01,CocoaDelight Milk PPRMNT_Case_6.5 oz,D30,Snacks,Case 6.5 oz,6.5 oz,,A130,CocoaDelight Milk Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A130_15,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Milk PPRMNT_Case,A130_15,CocoaDelight Milk PPRMNT_Case,Default,0,0%,PPRMNT,0.35,35%,910,910 cal,6.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A130,CocoaDelight Milk Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A130_15_03,CocoaDelight Milk PPRMNT_Case_12 oz,,10/24/2029 0:00,7/1/2019 0:00,,A130_15_03,CocoaDelight Milk PPRMNT_Case_12 oz,D30,Snacks,Case 12 oz,12 oz,,A130,CocoaDelight Milk Chocolate,B700,CocoaDelight,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A130_15,en-US,10/24/2029 0:00,7/1/2019 0:00,CocoaDelight Milk PPRMNT_Case,A130_15,CocoaDelight Milk PPRMNT_Case,Default,0,0%,PPRMNT,0.35,35%,1680,1680 cal,12 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A130,CocoaDelight Milk Chocolate,D30,Snacks,Case,AY,Dummy,,All Items
A143_10_01,ChocoDream 22% Cocoa Almond_Bar_3.5oz,,10/24/2029 0:00,7/1/2019 0:00,,A143_10_01,ChocoDream 22% Cocoa Almond_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A143,ChocoDream 22% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A143_10,en-US,10/24/2029 0:00,7/1/2019 0:00,ChocoDream 22% Cocoa Almond_Bar,A143_10,ChocoDream 22% Cocoa Almond_Bar,Default,0,0%,Almond,0.22,22%,510,510 cal,3.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A143,ChocoDream 22% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A144_10_01,ChocoDream 25% Cocoa Almond_Bar_3.5oz,,10/24/2029 0:00,7/1/2019 0:00,,A144_10_01,ChocoDream 25% Cocoa Almond_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A144,ChocoDream 25% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A144_10,en-US,10/24/2029 0:00,7/1/2019 0:00,ChocoDream 25% Cocoa Almond_Bar,A144_10,ChocoDream 25% Cocoa Almond_Bar,Default,0,0%,Almond,0.25,25%,505,505 cal,3.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A144,ChocoDream 25% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A145_10_01,ChocoDream 38% Cocoa Almond_Bar_3.5oz,,10/24/2029 0:00,7/1/2019 0:00,,A145_10_01,ChocoDream 38% Cocoa Almond_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A145,ChocoDream 38% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A145_10,en-US,10/24/2029 0:00,7/1/2019 0:00,ChocoDream 38% Cocoa Almond_Bar,A145_10,ChocoDream 38% Cocoa Almond_Bar,Default,0,0%,Almond,0.38,38%,490,490 cal,3.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A145,ChocoDream 38% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A146_10_01,ChocoDream 40% Cocoa Almond_Bar_3.5oz,,10/24/2029 0:00,7/1/2019 0:00,,A146_10_01,ChocoDream 40% Cocoa Almond_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A146,ChocoDream 40% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A146_10,en-US,10/24/2029 0:00,7/1/2019 0:00,ChocoDream 40% Cocoa Almond_Bar,A146_10,ChocoDream 40% Cocoa Almond_Bar,Default,0,0%,Almond,0.4,40%,480,480 cal,3.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A146,ChocoDream 40% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A147_10_01,ChocoDream 65% Cocoa Almond_Bar_3.5oz,,10/24/2029 0:00,7/1/2019 0:00,,A147_10_01,ChocoDream 65% Cocoa Almond_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A147,ChocoDream 65% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A147_10,en-US,10/24/2029 0:00,7/1/2019 0:00,ChocoDream 65% Cocoa Almond_Bar,A147_10,ChocoDream 65% Cocoa Almond_Bar,Default,0,0%,Almond,0.65,65%,440,440 cal,3.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A147,ChocoDream 65% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A148_10_01,ChocoDream 72% Cocoa Almond_Bar_3.5oz,,10/24/2029 0:00,7/1/2019 0:00,,A148_10_01,ChocoDream 72% Cocoa Almond_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A148,ChocoDream 72% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A148_10,en-US,10/24/2029 0:00,7/1/2019 0:00,ChocoDream 72% Cocoa Almond_Bar,A148_10,ChocoDream 72% Cocoa Almond_Bar,Default,0,0%,Almond,0.72,72%,420,420 cal,3.5 oz,Existing,,,,,,,,FinishedGoods,,All Items,,A148,ChocoDream 72% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
A146_11_01,ChocoDream 40% Cocoa Caramel_Bar_3.5oz,TRUE,10/28/2029 0:00,8/15/2023 0:00,,A146_11_01,ChocoDream 40% Cocoa Caramel_Bar_3.5oz,D30,Snacks,Bar 3.5 oz,3.5 oz,,A146,ChocoDream 40% Cocoa,B800,ChocoDream,C50,Chocolate,D30,Snacks,E20,Food,F10,FnB,A146_11,en-US,10/28/2029 0:00,8/15/2023 0:00,ChocoDream 40% Cocoa Caramel_Bar,T-A146_11,ChocoDream 40% Cocoa Caramel_Bar,Default,0,0%,Caramel,0.4,40%,525,525 cal,3.5 oz,New,,,,,,,,FinishedGoods,,All Items,,A146,ChocoDream 40% Cocoa,D30,Snacks,Bar,AY,Dummy,,All Items
RM_A010,RM Wiser Light,,,,,RM_A010,RM Wiser Light,Dummy,Dummy,Dummy,Dummy,,R010,RM Wiser Light,RM100,RM Wiser,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,RM_A010,en-US,,,RM Wiser Light,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,R010,RM Wiser Light,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
RM_A020,RM Wiser Strong,,,,,RM_A020,RM Wiser Strong,Dummy,Dummy,Dummy,Dummy,,R020,RM Wiser Strong,RM100,RM Wiser,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,RM_A020,en-US,,,RM Wiser Strong,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,R020,RM Wiser Strong,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
RM_A030,RM Falstaff Light,,,,,RM_A030,RM Falstaff Light,Dummy,Dummy,Dummy,Dummy,,R030,RM Falstaff Light,RM200,RM Falstaff,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,RM_A030,en-US,,,RM Falstaff Light,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,R030,RM Falstaff Light,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
RM_A040,RM Falstaff Strong,,,,,RM_A040,RM Falstaff Strong,Dummy,Dummy,Dummy,Dummy,,R040,RM Falstaff Strong,RM200,RM Falstaff,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,RM_A040,en-US,,,RM Falstaff Strong,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,R040,RM Falstaff Strong,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
RM_A050,RM Falstaff Tropical Grapefruit,,,,,RM_A050,RM Falstaff Tropical Grapefruit,Dummy,Dummy,Dummy,Dummy,,R050,RM Falstaff Tropical Grapefruit,RM200,RM Falstaff,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,RM_A050,en-US,,,RM Falstaff Tropical Grapefruit,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,R050,RM Falstaff Tropical Grapefruit,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
RM_A060,RM Falstaff Tropical Mix,,,,,RM_A060,RM Falstaff Tropical Mix,Dummy,Dummy,Dummy,Dummy,,R060,RM Falstaff Tropical Mix,RM200,RM Falstaff,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,RM_A060,en-US,,,RM Falstaff Tropical Mix,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,R060,RM Falstaff Tropical Mix,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
RM_A070,RM Falstaff Tropical Lime,,,,,RM_A070,RM Falstaff Tropical Lime,Dummy,Dummy,Dummy,Dummy,,R070,RM Falstaff Tropical Lime,RM200,RM Falstaff,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,RM_A070,en-US,,,RM Falstaff Tropical Lime,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,R070,RM Falstaff Tropical Lime,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
RM_A080,RM Falstaff Tropical Rasberry,,,,,RM_A080,RM Falstaff Tropical Rasberry,Dummy,Dummy,Dummy,Dummy,,R080,RM Falstaff Tropical Rasberry,RM200,RM Falstaff,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,RM_A080,en-US,,,RM Falstaff Tropical Rasberry,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,R080,RM Falstaff Tropical Rasberry,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
RM_A090,RM Fresh Mini Croissants,,,,,RM_A090,RM Fresh Mini Croissants,Dummy,Dummy,Dummy,Dummy,,R090,RM Fresh Mini Croissants,RM300,RM Fresh,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,RM_A090,en-US,,,RM Fresh Mini Croissants,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,R090,RM Fresh Mini Croissants,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
RM_A100,RM Marketstreet Donuts,,,,,RM_A100,RM Marketstreet Donuts,Dummy,Dummy,Dummy,Dummy,,R100,RM Marketstreet Donuts,RM400,RM Marketstreet,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,RM_A100,en-US,,,RM Marketstreet Donuts,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,R100,RM Marketstreet Donuts,Dummy,Dummy,Dummy,Dummy,Dummy,,Dummy
RM_A110,RM Lazy Potato Chips,,,,,RM_A110,RM Lazy Potato Chips,Dummy,Dummy,Can 330 ML,Dummy,,R110,RM Lazy Potato Chips,RM500,RM Lazy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,RM_A110,en-US,,,RM Lazy Potato Chips,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,R110,RM Lazy Potato Chips,Dummy,Dummy,CAN,Dummy,Dummy,,Dummy
PACK_10_01,Can 330 ML,,,,,PACK_10_01,Can 330 ML,Dummy,Dummy,Can 500 ML,330 ML,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,PACK_10_01,en-US,,,Can 330 ML,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,CAN,Dummy,Dummy,,Dummy
PACK_10_02,Can 500 ML,,,,,PACK_10_02,Can 500 ML,Dummy,Dummy,Bottle 330 ML,500 ML,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,PACK_10_02,en-US,,,Can 500 ML,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,BOTTLE,Dummy,Dummy,,Dummy
PACK_20_01,Bottle 330 ML,,,,,PACK_20_01,Bottle 330 ML,Dummy,Dummy,Bottle 500 ML,330 ML,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,PACK_20_01,en-US,,,Bottle 330 ML,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,BOTTLE,Dummy,Dummy,,Dummy
PACK_20_02,Bottle 500 ML,,,,,PACK_20_02,Bottle 500 ML,Dummy,Dummy,Box 12 CT,500 ML,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,PACK_20_02,en-US,,,Bottle 500 ML,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,BOX,Dummy,Dummy,,Dummy
PACK_30_11,Box 12 CT,,,,,PACK_30_11,Box 12 CT,Dummy,Dummy,Bag 6.5 OZ,12 CT,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,PACK_30_11,en-US,,,Box 12 CT,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,BAG,Dummy,Dummy,,Dummy
PACK_40_21,Bag 6.5 OZ,,,,,PACK_40_21,Bag 6.5 OZ,Dummy,Dummy,Can 330 ML,6.5 OZ,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,PACK_40_21,en-US,,,Bag 6.5 OZ,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,CAN,Dummy,Dummy,,Dummy
LABEL_A010_10_01,LABEL_Wiser Light_Can_330,,,,,LABEL_A010_10_01,LABEL_Wiser Light_Can_330,Dummy,Dummy,Can 500 ML,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A010_10_01,en-US,,,LABEL_Wiser Light_Can_330,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,CAN,Dummy,Dummy,,Dummy
LABEL_A010_10_02,LABEL_Wiser Light_Can_500,,,,,LABEL_A010_10_02,LABEL_Wiser Light_Can_500,Dummy,Dummy,Bottle 330 ML,Dummy,,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,Dummy,LABEL_A010_10_02,en-US,,,LABEL_Wiser Light_Can_500,Dummy,Dummy,Default,,,,,,,,Dummy,Existing,,,,,,,,RawMaterials,,All Items,,Dummy,Dummy,Dummy,Dummy,BOTTLE,Dummy,Dummy,,Dummy
